workflow_id,workflow_length,number_of_agents,workflow_depth,execution_time,cost,retry_count,success,parallel_enabled,mutation_type_encoded,fitness
Application_1000691650,37,6,13,3701239.4,50000,4,0.5,0,0,41.51
Application_1002485344,80,17,18,8240356.867,16000,22,0.5,0,0,39.79
Application_1004293292,30,8,16,927973.909,14000,5,0.0,0,0,26.61
Application_1004303396,97,10,18,2160753.225,15000,23,0.6363636363636364,0,0,49.41
Application_1004943461,24,3,14,784277.675,9000,3,0.33333333333333337,0,0,44.86
Application_1011124726,24,4,14,349512.407,0,3,0.33333333333333337,0,0,48.04
Application_1012714056,88,13,20,1529513.407,25700,19,0.5555555555555556,0,0,46.37
Application_1012727008,50,10,18,860557.464,8000,10,0.0,0,0,27.32
Application_1014301064,28,5,14,1276274.533,0,5,0.33333333333333337,0,0,40.09
Application_1014760259,40,5,16,1547578.823,5300,7,0.6,0,0,49.75
Application_1014824736,40,5,16,186528.82,10000,7,0.6,0,0,55.82
Application_1015245209,40,8,16,1056080.407,17100,8,0.19999999999999996,0,0,33.97
Application_1015357327,32,8,16,1169538.11,8000,6,0.0,0,0,26.39
Application_1015478096,20,4,11,2756162.267,12500,3,0.5,0,0,47.41
Application_1016632627,65,9,16,1219439.841,50000,16,0.5,0,0,42.9
Application_1016816804,46,6,16,1539488.993,5000,10,0.6,0,0,49.79
Application_1017492916,22,4,13,2720503.805,15000,3,0.0,0,0,27.25
Application_1018615109,38,7,19,1763882.852,17000,5,0.25,0,0,34.41
Application_1020990376,38,7,18,643689.448,5000,6,0.5,0,0,48.45
Application_1021758905,40,9,18,775435.552,20000,7,0.0,0,0,26.68
Application_102284220,30,5,16,939381.382,12000,3,0.33333333333333337,0,0,44.07
Application_1027094271,91,14,18,4372913.505,20000,25,0.33333333333333337,0,0,34.74
Application_1028275195,37,8,16,3090766.935,11300,6,0.33333333333333337,0,0,36.49
Application_1029819018,30,4,11,3604366.88,0,2,0.5,0,0,49.59
Application_1029986710,40,8,16,1107714.814,7000,9,0.5,0,0,46.63
Application_1033672339,30,6,16,920311.538,18000,4,0.5,0,0,48.32
Application_1035080902,18,3,11,2644686.105,10000,2,0.5,0,0,49.74
Application_1038917262,24,6,13,1534425.21,18000,4,0.0,0,0,26.76
Application_1041929908,49,8,17,2401151.849,30000,8,0.75,0,0,52.43
Application_1042310075,67,14,18,2120636.028,20000,16,0.375,0,0,38.61
Application_1044260282,23,4,11,2492988.171,6500,5,0.0,0,0,24.2
Application_1044610848,31,7,14,1480250.314,50000,6,0.6666666666666667,0,0,48.97
Application_104463316,22,3,11,3872311.933,8000,2,0.5,0,0,48.73
Application_1044911465,30,5,13,4814481.442,19500,4,0.6666666666666667,0,0,49.82
Application_1048791267,28,5,13,3057853.379,25000,4,0.0,0,0,24.09
Application_1049151850,88,16,16,3188933.465,14000,24,0.5555555555555556,0,0,45.07
Application_1049543561,21,3,13,2647285.483,7500,2,0.5,0,0,49.93
Application_1052983039,36,8,18,1377885.565,5000,6,0.25,0,0,36.13
Application_1054650915,58,13,18,3719833.537,10000,12,0.2857142857142857,0,0,34.13
Application_105711594,64,12,19,3585115.467,5000,9,0.0,0,0,23.21
Application_1058390155,39,9,19,3596866.432,10000,6,0.0,0,0,22.8
Application_1058763045,29,5,14,689220.685,50000,6,0.0,0,0,24.64
Application_1059131551,27,4,14,598985.578,5000,4,0.6666666666666667,0,0,57.33
Application_1059184025,41,6,17,536143.275,6600,5,0.19999999999999996,0,0,36.88
Application_1060570579,22,4,11,2645854.448,0,4,0.5,0,0,46.54
Application_1061354216,18,3,11,353377.928,6000,2,0.5,0,0,56.2
Application_1068218912,29,6,13,4817355.119,7500,4,0.5,0,0,44.11
Application_1068664646,27,6,13,2822416.849,15000,5,0.33333333333333337,0,0,36.47
Application_1069329258,23,4,14,280202.974,12500,3,0.0,0,0,34.38
Application_10693354,51,9,17,3634197.21,0,8,0.2857142857142857,0,0,35.0
Application_106973225,22,4,13,2749320.994,30000,3,0.0,0,0,26.02
Application_1072003198,48,9,18,1003370.489,25000,9,0.5,0,0,45.49
Application_107632320,45,10,19,3449764.048,10000,8,0.5,0,0,42.93
Application_107664347,24,4,13,2734823.567,15000,3,0.6666666666666667,0,0,53.9
Application_1077268062,35,7,14,1208916.958,30000,8,0.6666666666666667,0,0,51.19
Application_1077411737,40,7,18,1143431.353,10000,7,0.0,0,0,26.29
Application_1082798467,26,4,13,4183041.259,13000,3,0.0,0,0,26.1
Application_1084718608,66,13,19,3585526.189,8000,10,0.5714285714285714,0,0,45.83
Application_1085880569,27,4,13,5075728.96,13000,3,0.5,0,0,45.51
Application_1086190151,83,20,18,6281365.099,15000,21,0.5714285714285714,1,0,43.56
Application_1086310567,32,7,16,946008.906,10000,4,0.25,0,0,38.87
Application_1088837371,51,9,18,676095.411,50000,11,0.6,0,0,48.7
Application_1089454,67,9,18,2148368.428,0,13,0.11111111111111116,0,0,29.62
Application_1090055049,55,10,18,2567663.856,25500,13,0.5,0,0,42.59
Application_1090244272,23,4,13,2807777.374,25000,3,0.5,0,0,46.35
Application_1091101077,20,3,13,2726675.765,50000,2,0.0,0,0,26.44
Application_1096831814,42,8,17,356639.097,11800,7,0.19999999999999996,0,0,37.7
Application_1096968149,27,5,14,1885046.673,15000,4,0.6666666666666667,0,0,53.04
Application_110013435,30,7,16,662382.215,13000,5,0.0,0,0,27.72
Application_1101248362,49,8,18,3619295.251,7800,12,0.5,0,0,42.96
Application_1101997724,43,9,18,1496587.342,10000,8,0.8,0,0,57.47
Application_1103656222,33,6,16,1459240.109,8000,6,0.25,0,0,35.71
Application_1104832087,49,7,18,2394225.429,16000,9,0.19999999999999996,0,0,31.56
Application_1106513315,55,10,16,1968020.343,5900,13,0.0,0,0,24.97
Application_110813962,40,8,18,580713.396,5000,7,0.0,0,0,28.76
Application_1111090727,21,3,13,2720290.553,5000,2,0.5,0,0,50.05
Application_1111870538,25,5,13,571583.364,5000,4,0.5,0,0,50.81
Application_1112798958,35,7,17,907362.008,25000,5,0.25,0,0,35.8
Application_111351134,23,5,11,2726016.5,15000,4,0.6666666666666667,0,0,51.91
Application_1114296087,30,7,16,1140863.539,10000,5,0.0,0,0,26.3
Application_111540759,34,7,13,525911.488,10000,9,0.0,0,0,28.66
Application_1115533383,35,7,18,1457144.152,25000,6,0.0,0,0,24.36
Application_1115559180,22,4,11,2807859.362,35000,2,0.5,0,0,47.55
